"HUGO_GENE_SYMBOL","ENTREZ_GENE_ID"
"NCOR1",9611
"NEGR1",257194
"NF1",4763
"NF2",4771
"NFE2L2",4780
"NFKBIA",4792
"NKX2-1",7080
"NKX3-1",4824
"NOTCH1",4851
"NOTCH2",4853
"NOTCH3",4854
"NOTCH4",4855
"NPM1",4869
"NRAS",4893
"NSD1",64324
"NSD2",7468
"NSD3",54904
"NTHL1",4913
"NTRK1",4914
"NTRK2",4915
"NTRK3",4916
"NUF2",83540
"NUP93",9688
"PAK1",5058
"PAK5",57144
"PALB2",79728
"PARP1",142
"PAX5",5079
"PBRM1",55193
"PDCD1",5133
"PDCD1LG2",80380
"PDGFRA",5156
"PDGFRB",5159
"PDPK1",5170
"PGBD5",79605
"PGR",5241
"PHF6",84295
"PHOX2B",8929
"PIK3C2G",5288
"PIK3C3",5289
"PIK3CA",5290
"PIK3CB",5291
"PIK3CD",5293
"PIK3CG",5294
"PIK3R1",5295
"PIK3R2",5296
"PIK3R3",8503
"PIM1",5292
"PLCG2",5336
"PLK2",10769
"PMAIP1",5366
"PMS1",5378
"PMS2",5395
"PNRC1",10957
"POLD1",5424
"POLE",5426
"POT1",25913
"PPARG",5468
"PPM1D",8493
"PPP2R1A",5518
"PPP4R2",151987
"PPP6C",5537
"PRDM1",639
"PRDM14",63978
"PREX2",80243
"PRKAR1A",5573
"PRKCI",5584
"PRKD1",5587
"PRKN",5071
"PTCH1",5727
"PTEN",5728
"PTP4A1",7803
"PTPN11",5781
"PTPRD",5789
"PTPRS",5802
"PTPRT",11122
"RAB35",11021
"RAC1",5879
"RAC2",5880
"RAD21",5885
"RAD50",10111
"RAD51",5888
"RAD51B",5890
"RAD51C",5889
"RAD51D",5892
"RAD52",5893
"RAD54L",8438
"RAF1",5894
"RARA",5914
"RASA1",5921
"RB1",5925
"RBM10",8241
"RECQL",5965
"RECQL4",9401
"REL",5966
"REST",5978
"RET",5979
"RHEB",6009
"RHOA",387
"RICTOR",253260
"RIT1",6016
"RNF43",54894
"ROS1",6098
"RPS6KA4",8986
"RPS6KB2",6199
"RPTOR",57521
"RRAGC",64121
"RRAS",6237
"RRAS2",22800
"RTEL1",51750
"RUNX1",861
"RXRA",6256
"RYBP",23429
"SCG5",6447
"SDHA",6389
"SDHAF2",54949
"SDHB",6390
"SDHC",6391
"SDHD",6392
"SERPINB3",6317
"SERPINB4",6318
"SESN1",27244
"SESN2",83667
"SESN3",143686
"SETD2",29072
"SETDB1",9869
"SF3B1",23451
"SH2B3",10019
"SH2D1A",4068
"SHOC2",8036
"SHQ1",55164
"SLFN11",91607
"SLX4",84464
"SMAD2",4087
"SMAD3",4088
"SMAD4",4089
"SMARCA2",6595
"SMARCA4",6597
"SMARCB1",6598
"SMARCD1",6602
"SMARCE1",6605
"SMO",6608
"SMYD3",64754
"SOCS1",8651
"SOS1",6654
"SOX17",64321
"SOX2",6657
"SOX9",6662
"SPEN",23013
"SPOP",8405
"SPRED1",161742
"SPRTN",83932
"SRC",6714
"SRSF2",6427
"STAG2",10735
"STAT3",6774
"STAT5A",6776
"STAT5B",6777
"STK11",6794
"STK19",8859
"STK40",83931
"SUFU",51684
"SUZ12",23512
"SYK",6850
"TAP1",6890
"TAP2",6891
"TBX3",6926
"TCF3",6929
"TCF7L2",6934
"TEK",7010
"TENT5C",54855
"TERT",7015
"TET1",80312
"TET2",54790
"TGFBR1",7046
"TGFBR2",7048
"TMEM127",55654
"TMPRSS2",7113
"TNFAIP3",7128
"TNFRSF14",8764
"TOP1",7150
"TP53",7157
"TP53BP1",7158
"TP63",8626
"TRAF2",7186
"TRAF7",84231
"TRIP13",9319
"TSC1",7248
"TSC2",7249
"TSHR",7253
"U2AF1",7307
"UPF1",5976
"USP8",9101
"VEGFA",7422
"VHL",7428
"VTCN1",79679
"WT1",7490
"WWTR1",25937
"XIAP",331
"XPO1",7514
"XRCC2",7516
"YAP1",10413
"YES1",7525
"ZFHX3",463
"ZNRF3",84133
"ZRSR2",8233
