Code	NCIt Preferred Name	Synonyms
C102978	Apoptotic Autologous Tumor Cells-pulsed Alpha-type-1 Polarized Dendritic Cells	Apoptotic Autologous Tumor Cells-pulsed Alpha-type-1 Polarized Dendritic Cells
C102980	Anti-ENPP3 Antibody-Drug Conjugate AGS-16C3F	ADC AGS-16C3F|AGS-16C3F|Anti-ENPP3 Antibody-Drug Conjugate AGS-16C3F|Anti-ENPP3 Antibody-Drug Conjugate AGS-16C3F
C102981	Iodine I 131 Rituximab	(131)I-Rituximab|131I-Rituxan|Iodine I 131 Rituximab|RITUXIMAB I-131
C102982	Gag:267-274 Peptide Vaccine	Gag:267-274 Peptide Vaccine|Gag:267-274 Peptide Vaccine
C102983	PBN Derivative OKN-007	"2,4-Disulfonyl PBN|2,4-Disulfophenyl-tert-butylnitrone|NXY-059|OKN-007|OKN007|PBN Derivative OKN-007|PBN Derivative OKN-007"
C1031	Piritrexim	"2,4-Diamino-6-(2,5-dimethoxybenzyl)-5-methylpyrido[2,3-d]pyrimidine|6-((2,5-Dimethoxyphenyl)methyl)-5-methylpyrido(2,3-d)pyrimidine-2,4-diamine|6-[(2,5-Dimethoxyphenyl)methyl]-5-methylpyrido[2,3-d]pyrimidine-2,4-diamine|BW 301U|BW-301U|PIRITREXIM|Piritrexim|Piritrexim|piritrexim"
C103147	Venetoclax	"4-(4-((2-(4-Chlorophenyl)-4,4-dimethylcyclohex-1-en-1-yl)methyl)piperazin-1-yl)-N-((3-nitro-4-((tetrahydro-2H-pyran-4-ylmethyl)amino)phenyl)sulfonyl)-2-(1H-pyrrolo(2,3-b)pyridin-5-yloxy)benzamide|ABT-0199|ABT-199|ABT199|GDC-0199|RG7601|VENETOCLAX|Venclexta|Venclyxto|Venetoclax|Venetoclax"
C103177	Beta-elemene	"(1S,2S,4R)-2,4-diisopropenyl-1-methyl-1-vinylcyclohexane|(1alpha,2beta,4beta)-1-Methyl-2,4-bis(methylvinyl)-1- vinylcyclohexane|Beta-elemene"
C103178	Modified Citrus Pectin Supplement	Modified Citrus Pectin Supplement|PectaSol-C
C103179	Pinometostat	DOT1L Inhibitor EPZ-5676|EPZ-5676|Pinometostat|Pinometostat
C103192	Plasmacytoid Dendritic Cell Vaccine	Plasmacytoid Dendritic Cell Vaccine|pDC Vaccine
C103193	Tumor-Cells Apoptosis Factor Hormone-Peptide	Nerofe|Tumor-Cells Apoptosis Factor Hormone-Peptide
C103194	Durvalumab	"DURVALUMAB|Durvalumab|Durvalumab|Imfinzi|Immunoglobulin G1, Anti-(Human Protein B7-H1) (Human Monoclonal MEDI4736 Heavy Chain), Disulfide with Human Monoclonal MEDI4736 Kappa-chain, Dimer|MEDI-4736|MEDI4736"
C1032	Cactinomycin	ACTINOMYCIN C|Actinomycin C|CACTINOMYCIN|Cactinomycin|Cactinomycin
C103230	Phellodendron amurense Bark Extract	Nexrutine|Phellodendron amurense Bark Extract|Phellodendron amurense Bark Extract
C103272	Nitroglycerin Transdermal Patch	GTN Transdermal Patch|Glyceryl Trinitrate Transdermal Patch|Minitran|Nitroglycerin Transdermal Patch
C103273	Erdafitinib	"1,2-Ethanediamine, N1-(3,5-dimethoxyphenyl)-N2-(1-methylethyl)-N1-(3-(1-methyl-1H-pyrazol-4-yl)-6-quinoxalinyl)-|Balversa|ERDAFITINIB|Erdafitinib|Erdafitinib|JNJ-42756493"
C103274	Brontictuzumab	"BRONTICTUZUMAB|Brontictuzumab|Brontictuzumab|Immunoglobulin G2-lambda, Anti-(homo Sapiens Notch1 (Notch 1, Translocation-associated Notch-1, TAN-1,Tan1)), Humanized Monoclonal Antibody|OMP-52M51"
C103276	Pegylated Liposomal Mitomycin C Lipid-based Prodrug	PL-MLP|Pegylated Liposomal Mitomycin C Lipid-based Prodrug|Promitil
C103277	Acalisib	6-Fluoro-3-phenyl-2-((1S)-1-(7H-purin-6-ylamino)ethyl)quinazolin-4(3H)-one|ACALISIB|Acalisib|CAL-120|GS-9820
C103297	Nucleolin Antagonist IPP-204106N	IPP-204106|N6L|Nucleolin Antagonist IPP-204106N
C103298	Birabresib	"6H-Thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine-6-acetamide, 4-(4-Chlorophenyl)-N-(4-hydroxyphenyl)-2,3,9-trimethyl-, (6S)-|BIRABRESIB|BRD 2/3/4 Inhibitor OTX015|Birabresib|Birabresib|MK-8628|OTX015"
C103300	Ginsenoside Rg3 Capsule	Ginsenoside Rg3 Capsule|Shen Yi Capsule
C1035	Calicheamicin Gamma 1I	Calicheamicin Gamma 1I
C1037	Caracemide	"Acetamide, N-[(Methylamino)carbonyl]-N-[[(methylamino)carbonyl]oxy]-(9CI)|Acetamide, N-[(methylamino)carbonyl]-N-[[(methylamino)carbonyl]oxy]- (9CI)|CARACEMIDE|Caracemide|N-Acetyl-N-(methylcarbamoyloxy)-N'-methylurea"
C1038	Carbogen	Carbogen|carbogen
C103820	Lirilumab	BMS-986015|IPH2102|LIRILUMAB|Lirilumab|Lirilumab
C103823	XBP1-US/XBP1-SP/CD138/CS1 Multipeptide Vaccine PVX-410	PVX-410|XBP1-US/XBP1-SP/CD138/CS1 Multipeptide Vaccine PVX-410|XBP1-US/XBP1-SP/CD138/CS1 Multipeptide Vaccine PVX-410
C103825	Smac Mimetic GDC-0917	GDC-0917|IAP Antagonist GDC-0917|SMAC/DIABLO Mimetic GDC-0917|Smac Mimetic GDC-0917
C103826	Taladegib	"4-Fluoro-N-methyl-N-(1-(4-(1-methyl-1H-pyrazol-5-yl)phthalazin-1-yl)piperidin-4-yl)-2-(trifluoromethyl)benzamide|Benzamide, 4-Fluoro-N-methyl-N-(1-(4-(1-methyl-1H-pyrazol-5-yl)-1-phthalazinyl)-4-piperidinyl)-2-(trifluoromethyl)-|LY-2940680|LY2940680|TALADEGIB|Taladegib|Taladegib"
C103827	Anti-PSMA/CD3 BiTE Monoclonal Antibody MT112	Anti-PSMA/CD3 BiTE Monoclonal Antibody MT112|BAY2010112|MT112
C103828	Galectin-1 Inhibitor OTX008	Gal-1 Inhibitor OTX008|Galectin-1 Inhibitor OTX008|OTX008
C103829	FAP-specific CD8-positive T Cells	FAP-specific CD8-positive T Cells
C103830	Recombinant Human Hsp110-gp100 Chaperone Complex Vaccine	Recombinant Human Hsp110-gp100 Chaperone Complex Vaccine|Recombinant Human Hsp110-gp100 Chaperone Complex Vaccine
